item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;on_change_measure
1;1;CONT-SOL-ILU-SUR-2;CONT-SOL-ILU-SUR-2;CONT-SOL-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
2;1;CONT-NUB-ILU-SUR-2;CONT-NUB-ILU-SUR-2;CONT-NUB-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
3;1;CONT-NOC-ILU-SUR-2;CONT-NOC-ILU-SUR-2;CONT-NOC-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
4;1;CONT-CREP-ILU-SUR-2;CONT-CREP-ILU-SUR-2;CONT-CREP-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
5;1;CONT-EXT-ILU-SUR-2;CONT-EXT-ILU-SUR-2;CONT-EXT-ILU-SUR-2;Autovía A-4;LT2;;Córdoba;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
6;1;CONT-NOC-ILU-NOR-2;CONT-NOC-ILU-NOR-2;CONT-NOC-ILU-NOR-2;Autovía A-4;LT2;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
7;1;CONT-CREP-ILU-NOR-2;CONT-CREP-ILU-NOR-2;CONT-CREP-ILU-NOR-2;Autovía A-4;LT2;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
8;1;CONT-EXT-ILU-NOR-2;CONT-EXT-ILU-NOR-2;CONT-EXT-ILU-NOR-2;Autovía A-4;LT2;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
9;1;CONT-REF-ILU-NOR-2;CONT-REF-ILU-NOR-2;CONT-REF-ILU-NOR-2;Autovía A-4;LT2;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
10;1;CONT-SOL-ILU-NOR-3;CONT-SOL-ILU-NOR-3;CONT-SOL-ILU-NOR-3;Autovía A-4;LT3;;Madrid;SendStateToIllumination.groovy;ChangeMeasureHistorical.groovy
