item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param4_config_json
1;18;TUN-PMV-4CA;TUN-PMV-4CA;TUN-PMV-4CA;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
2;18;TUN-PMV-3MA;TUN-PMV-3MA;TUN-PMV-3MA;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
3;18;MAP-DGT-1;MAP-DGT-1;MAP-DGT-1;Carretera Mapa;Mapa;120+400;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
4;18;MAP-DGT-2;MAP-DGT-2;MAP-DGT-2;Carretera Mapa;Mapa;120+600;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
5;18;MAP-DGT-3;MAP-DGT-3;MAP-DGT-3;Carretera Mapa;Mapa;120+800;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
6;18;MAP-DGT-4;MAP-DGT-4;MAP-DGT-4;Carretera Mapa;Mapa;121+000;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
7;18;MAP-DGT-5;MAP-DGT-5;MAP-DGT-5;Carretera Mapa;Mapa;121+200;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
8;18;MAP-DGT-6;MAP-DGT-6;MAP-DGT-6;Carretera Mapa;Mapa;121+400;N;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
9;18;MAP-DGT-7;MAP-DGT-7;MAP-DGT-7;Carretera Mapa;Mapa;119+200;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
10;18;MAP-DGT-8;MAP-DGT-8;MAP-DGT-8;Carretera Mapa;Mapa;119+000;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
11;18;MAP-DGT-9;MAP-DGT-9;MAP-DGT-9;Carretera Mapa;Mapa;118+700;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
12;18;MAP-DGT-10;MAP-DGT-10;MAP-DGT-10;Carretera Mapa;Mapa;118+300;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
13;18;MAP-DGT-11;MAP-DGT-11;MAP-DGT-11;Carretera Mapa;Mapa;117+150;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
14;18;MAP-DGT-12;MAP-DGT-12;MAP-DGT-12;Carretera Mapa;Mapa;116+050;S;Fixalia;DGT;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":18},{""zone"":2,""type"":""text"",""maxCharsPerLine"":12}]"
15;11;TUN-CLV-1;TUN-CLV-1;TUN-CLV-1;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
16;11;TUN-CLV-2;TUN-CLV-2;TUN-CLV-2;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
17;11;TUN-CLV-3;TUN-CLV-3;TUN-CLV-3;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
18;11;TUN-CLV-4;TUN-CLV-4;TUN-CLV-4;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
19;11;TUN-CLV-5;TUN-CLV-5;TUN-CLV-5;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
20;11;TUN-CLV-6;TUN-CLV-6;TUN-CLV-6;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
21;11;TUN-CLV-7;TUN-CLV-7;TUN-CLV-7;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
22;11;TUN-CLV-8;TUN-CLV-8;TUN-CLV-8;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":11}]"
23;12;TUN-AF-1;TUN-AF-1;TUN-AF-1;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
24;12;TUN-AF-2;TUN-AF-2;TUN-AF-2;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
25;12;TUN-AF-3;TUN-AF-3;TUN-AF-3;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
26;12;TUN-AF-4;TUN-AF-4;TUN-AF-4;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
27;12;TUN-AF-5;TUN-AF-5;TUN-AF-5;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
28;12;TUN-AF-6;TUN-AF-6;TUN-AF-6;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
29;12;TUN-AF-7;TUN-AF-7;TUN-AF-7;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
30;12;TUN-AF-8;TUN-AF-8;TUN-AF-8;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"graphic","vms_group_id":12}]"
31;16;TUN-PMVI-1;TUN-PMVI-1;TUN-PMVI-1;Carretera Tunel;Carretera;172+655;CA;Fixalia;DGT;"[{"zone":1,"type":"text","maxCharsPerLine":12}]"
32;16;TUN-PMVI-2;TUN-PMVI-2;TUN-PMVI-2;Carretera Tunel;Carretera;173+437;MA;Fixalia;DGT;"[{"zone":1,"type":"text","maxCharsPerLine":12}]"
