item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param9_hostname;param10_user;param11_password;param12_PTZ
1;1;TUN-TVD-1CA;TUN-TVD-1CA;TUN-TVD-1CA;Carretera Tunel;Carretera;172+623;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
2;1;TUN-TVD-1MA;TUN-TVD-1MA;TUN-TVD-1MA;Carretera Tunel;Carretera;173+535;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
3;2;TUN-TV-1CA;TUN-TV-1CA;TUN-TV-1CA;Carretera Tunel;Carretera;173+492;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
4;2;TUN-TV-2CA;TUN-TV-2CA;TUN-TV-2CA;Carretera Tunel;Carretera;173+417;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
5;2;TUN-TV-3CA;TUN-TV-3CA;TUN-TV-3CA;Carretera Tunel;Carretera;173+340;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
6;2;TUN-TV-4CA;TUN-TV-4CA;TUN-TV-4CA;Carretera Tunel;Carretera;173+265;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
7;2;TUN-TV-5CA;TUN-TV-5CA;TUN-TV-5CA;Carretera Tunel;Carretera;173+187;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
8;2;TUN-TV-6CA;TUN-TV-6CA;TUN-TV-6CA;Carretera Tunel;Carretera;173+110;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
9;2;TUN-TV-7CA;TUN-TV-7CA;TUN-TV-7CA;Carretera Tunel;Carretera;173+035;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
10;2;TUN-TV-8CA;TUN-TV-8CA;TUN-TV-8CA;Carretera Tunel;Carretera;172+957;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
11;2;TUN-TV-9CA;TUN-TV-9CA;TUN-TV-9CA;Carretera Tunel;Carretera;172+881;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
12;2;TUN-TV-10CA;TUN-TV-10CA;TUN-TV-10CA;Carretera Tunel;Carretera;172+805;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
13;2;TUN-TV-11CA;TUN-TV-11CA;TUN-TV-11CA;Carretera Tunel;Carretera;172+651;CA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
14;2;TUN-TV-2GA;TUN-TV-2GA;TUN-TV-2GA;Carretera Tunel;Carretera;172+917;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
15;2;TUN-TV-1GA;TUN-TV-1GA;TUN-TV-1GA;Carretera Tunel;Carretera;172+917;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
16;2;TUN-TV-1MA;TUN-TV-1MA;TUN-TV-1MA;Carretera Tunel;Carretera;172+657;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
17;2;TUN-TV-2MA;TUN-TV-2MA;TUN-TV-2MA;Carretera Tunel;Carretera;172+734;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
18;2;TUN-TV-3MA;TUN-TV-3MA;TUN-TV-3MA;Carretera Tunel;Carretera;172+805;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
19;2;TUN-TV-4MA;TUN-TV-4MA;TUN-TV-4MA;Carretera Tunel;Carretera;172+888;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
20;2;TUN-TV-5MA;TUN-TV-5MA;TUN-TV-5MA;Carretera Tunel;Carretera;172+965;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
21;2;TUN-TV-6MA;TUN-TV-6MA;TUN-TV-6MA;Carretera Tunel;Carretera;173+117;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
22;2;TUN-TV-7MA;TUN-TV-7MA;TUN-TV-7MA;Carretera Tunel;Carretera;173+257;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
23;2;TUN-TV-8MA;TUN-TV-8MA;TUN-TV-8MA;Carretera Tunel;Carretera;173+320;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
24;2;TUN-TV-9MA;TUN-TV-9MA;TUN-TV-9MA;Carretera Tunel;Carretera;173+437;MA;;HIKVISION;DS-2CD2665FWD-IZS;http://109.206.96.58:8080/cam_1.cgi;;;;;
